place	year	type	number
TNDV	103	suit	846
SLDV	97	suit	317
TYDV	96	summary	556
TCDV	102	summary	1000
KSDV	100	suit	244
SLDV	95	suit	177
CYDV	103	suit	217
PCDV	103	suit	2624
TYDV	103	small	208
HLDV	100	suit	149
CYDV	98	suit	68
ULDV	89	suit	646
HLDV	101	suit	49
TYDV	97	suit	2189
ULDV	91	summary	113
ILDV	98	suit	332
KLDV	89	suit	230
TPDV	96	suit	1460
KSDV	98	suit	2191
TCDV	91	suit	1295
PTDV	103	suit	75
HLDV	91	summary	464
TYDV	99	suit	1761
TYDV	102	small	473
PCDV	93	suit	1010
PTDV	91	summary	226
PCDV	95	suit	2490
KSDV	102	summary	99
TPDV	102	summary	533
SLDV	92	insurance	19
KSDV	104	suit	195
KSDV	95	suit	4329
KSDV	99	summary	914
TYDV	103	summary	80
SLDV	96	summary	771
TCDV	97	suit	500
CYDV	89	suit	32
PCDV	102	suit	1806
PCDV	103	suit	15
TNDV	94	suit	242
TTDV	97	suit	4
PCDV	99	suit	2379
KLDV	93	summary	358
TCDV	103	suit	2260
TCDV	103	summary	2460
TCDV	101	suit	2630
TPDV	99	suit	489
CHDV	103	suit	460
TYDV	94	suit	1341
KSDV	101	suit	1302
KSDV	103	suit	3
CHDV	101	suit	2
TPDV	99	suit	2759
TPDV	100	suit	2575
TCDV	92	suit	1243
PCDV	103	suit	30
KSDV	94	suit	66
TCDV	94	suit	1809
TPDV	92	suit	1699
TYDV	96	suit	2085
TCDV	91	suit	3447
SCDV	96	suit	725
SLDV	101	small	1232
TNDV	89	suit	1437
TNDV	98	suit	3
KSDV	97	suit	390
KSDV	103	suit	985
PTDV	99	summary	84
TCDV	102	suit	1869
KSDV	93	insurance	19
TYDV	97	suit	1759
TCDV	89	summary	2904
TPDV	102	suit	4776
TPDV	93	suit	297
TPDV	97	suit	275
TPDV	103	small	3212
TYDV	103	small	207
TYDV	91	suit	2007
KSDV	100	suit	355
KSDV	96	insurance	7
PCDV	99	suit	863
CHDV	100	suit	295
TPDV	99	summary	11138
CYDV	94	suit	439
CYDV	98	suit	436
TYDV	99	suit	1235
KSDV	98	small	2238
CHDV	103	small	52
TCDV	103	suit	2891
TCDV	102	suit	2965
PCDV	104	small	220
KSDV	100	suit	113
KSDV	99	summary	205
ILDV	101	suit	241
PCDV	88	suit	1835
ULDV	97	suit	353
TPDV	92	suit	4634
TYDV	102	suit	719
CHDV	95	suit	100
CYDV	89	suit	14
CHDV	102	suit	119
TNDV	97	suit	908
KSDV	91	summary	282
TYDV	89	suit	1594
TYDV	97	suit	103
TCDV	102	suit	300
TPDV	95	suit	10896
TNDV	100	suit	1403
PCDV	98	suit	1625
TPDV	102	small	1270
TPDV	102	small	690
TYDV	95	suit	62
TNDV	95	suit	202
ILDV	102	suit	20
ILDV	101	suit	320
ILDV	103	small	135
CYDV	103	suit	534
CYDV	99	suit	733
PTDV	102	suit	510
TPDV	96	suit	1571
PCDV	104	suit	599
HLDV	99	suit	172
HLDV	96	suit	124
TCDV	91	suit	97
PTDV	90	summary	493
TCDV	92	small	73
TNDV	88	insurance	2
TPDV	102	small	1980
TPDV	102	small	2504
TPDV	102	summary	13439
ULDV	95	suit	230
KLDV	100	small	1141
CHDV	101	suit	117
TNDV	103	suit	409
KSDV	92	suit	928
TCDV	102	suit	545
ULDV	93	suit	447
ULDV	95	suit	293
TNDV	103	summary	7
CHDV	94	suit	78
TCDV	98	suit	1750
TYDV	93	suit	1078
HLDV	95	suit	72
TYDV	103	small	213
KLDV	98	suit	502
SCDV	95	suit	582
TPDV	97	summary	23603
KSDV	100	suit	261
TPDV	104	summary	3494
CYDV	101	suit	695
TCDV	102	suit	257
TYDV	101	suit	1201
TPDV	90	small	899
KSDV	100	suit	1760
TPDV	94	suit	12
KLDV	95	suit	526
TPDV	98	suit	997
CYDV	97	suit	235
CYDV	95	suit	534
TPDV	91	suit	1590
KSDV	93	suit	2594
KSDV	97	suit	1146
SLDV	102	summary	1105
TCDV	97	suit	1444
SLDV	99	suit	1535
TNDV	95	suit	1782
SCDV	101	suit	485
SLDV	98	suit	1044
TPDV	103	small	1839
TPDV	94	suit	1115
TPDV	100	suit	696
TPDV	93	suit	3503
PCDV	93	suit	828
KSDV	102	suit	181
PTDV	95	summary	555
KSDV	92	suit	495
TCDV	91	suit	1485
TPDV	100	suit	5327
TYDV	101	suit	765
TYDV	103	insurance	9
KSDV	96	suit	197
KSDV	102	suit	2268
TCDV	98	suit	9
TYDV	93	insurance	15
TYDV	93	suit	1268
TPDV	96	suit	1685
TYDV	94	suit	986
ULDV	104	suit	113
CYDV	99	suit	583
SLDV	103	summary	188
TYDV	88	suit	1670
CYDV	100	suit	402
SLDV	94	summary	1098
PCDV	99	suit	2588
TCDV	103	suit	1413
