[u'\u81fa\u5317', u'92', u'\u91cd\u8a34', u'1462']
[u'\u81fa\u5317', u'93', u'\u5317\u4fdd\u96aa\u5c0f', u'82']
[u'\u81fa\u5317', u'94', u'\u5317\u5c0f', u'727']
[u'\u81fa\u5317', u'94', u'\u8a34', u'1366']
[u'\u81fa\u5317', u'96', u'\u5317\u5c0f', u'2613']
[u'\u81fa\u5317', u'96', u'\u5e97\u5c0f', u'2175']
[u'\u81fa\u5317', u'96', u'\u8a34', u'4056']
[u'\u81fa\u5317', u'97', u'\u8a34', u'3989']
[u'\u81fa\u5317', u'99', u'\u8a34', u'2305']
[u'\u58eb\u6797', u'100', u'\u8a34', u'46']
[u'\u58eb\u6797', u'101', u'\u6e56\u5c0f', u'390']
[u'\u58eb\u6797', u'101', u'\u6e56\u5c0f', u'393']
[u'\u58eb\u6797', u'101', u'\u6e56\u5c0f', u'884']
[u'\u58eb\u6797', u'101', u'\u6e56\u5c0f', u'933']
[u'\u58eb\u6797', u'101', u'\u6e56\u5c0f', u'988']
[u'\u58eb\u6797', u'102', u'\u6e56\u7c21', u'318']
[u'\u58eb\u6797', u'97', u'\u58eb\u5c0f', u'1025']
[u'\u58eb\u6797', u'98', u'\u58eb\u5c0f', u'210']
[u'\u58eb\u6797', u'98', u'\u6e56\u5c0f', u'1513']
[u'\u65b0\u5317', u'100', u'\u91cd\u7c21', u'1133']
[u'\u65b0\u5317', u'102', u'\u8a34', u'456']
[u'\u65b0\u5317', u'103', u'\u91cd\u7c21', u'536']
[u'\u65b0\u5317', u'91', u'\u8a34', u'1986']
[u'\u65b0\u5317', u'91', u'\u8a34', u'379']
[u'\u65b0\u5317', u'91', u'\u8a34', u'731']
[u'\u65b0\u5317', u'95', u'\u91cd\u5c0f', u'2759']
[u'\u65b0\u5317', u'96', u'\u8a34', u'1394']
[u'\u65b0\u5317', u'96', u'\u8a34', u'1952']
[u'\u65b0\u5317', u'96', u'\u91cd\u5c0f', u'2440']
[u'\u65b0\u5317', u'96', u'\u91cd\u5c0f', u'3745']
[u'\u65b0\u5317', u'97', u'\u8a34', u'2573']
[u'\u65b0\u5317', u'98', u'\u8a34', u'1577']
[u'\u65b0\u5317', u'99', u'\u8a34', u'1837']
[u'\u65b0\u5317', u'99', u'\u8a34', u'2318']
[u'\u5b9c\u862d', u'90', u'\u8a34', u'409']
[u'\u57fa\u9686', u'100', u'\u57fa\u7c21', u'509']
[u'\u57fa\u9686', u'100', u'\u8a34', u'173']
[u'\u57fa\u9686', u'101', u'\u91cd\u8a34', u'10']
[u'\u57fa\u9686', u'90', u'\u57fa\u7c21', u'526']
[u'\u6843\u5712', u'102', u'\u58e2\u4fdd\u96aa\u5c0f', u'142']
[u'\u6843\u5712', u'103', u'\u8a34', u'432']
[u'\u6843\u5712', u'90', u'\u6843\u5c0f', u'167']
[u'\u6843\u5712', u'91', u'\u6843\u7c21', u'329']
[u'\u6843\u5712', u'91', u'\u8a34', u'669']
[u'\u6843\u5712', u'91', u'\u91cd\u8a34', u'494']
[u'\u6843\u5712', u'92', u'\u6843\u5c0f', u'719']
