0-上午,　,,,
1-上午,　,,,
2-上午,　,,,
3-上午,　,,,
4-上午,　,,,
5-上午,3╱1,,創造力,107
6-上午,3╱2,,,
7-下午,　,,,
8-下午,　,,,
9-下午,　,,,
10-下午,　,,,
11-下午,　,,,
12-下午,3╱1,,創造力,107
13-下午,3╱2,,,
14-夜間,　,,,
15-夜間,　,,,
16-夜間,　,,,
17-夜間,　,,,
18-夜間,　,,,
19-夜間,3╱1,,,
20-夜間,3╱2,,,
21-上午,3╱3,,,
22-上午,3╱4,,,
23-上午,3╱5,,,
24-上午,3╱6,,,
25-上午,3╱7,,行銷案例,107
26-上午,3╱8,,創造力,107
27-上午,3╱9,,,
28-下午,3╱3,,,
29-下午,3╱4,,,
30-下午,3╱5,,,
31-下午,3╱6,,,
32-下午,3╱7,,行銷案例,107
33-下午,3╱8,,創造力,107
34-下午,3╱9,,,
35-夜間,3╱3,,,
36-夜間,3╱4,,,
37-夜間,3╱5,,,
38-夜間,3╱6,,,
39-夜間,3╱7,,,
40-夜間,3╱8,,,
41-夜間,3╱9,,,
42-上午,3╱10,,,
43-上午,3╱11,,,
44-上午,3╱12,,,
45-上午,3╱13,,,
46-上午,3╱14,,行銷案例,107
47-上午,3╱15,,創造力,105
48-上午,3╱16,,,
49-下午,3╱10,,,
50-下午,3╱11,,,
51-下午,3╱12,,,
52-下午,3╱13,,,
53-下午,3╱14,,行銷案例,107
54-下午,3╱15,,創造力,105
55-下午,3╱16,,,
56-夜間,3╱10,,,
57-夜間,3╱11,,,
58-夜間,3╱12,,,
59-夜間,3╱13,,,
60-夜間,3╱14,,,
61-夜間,3╱15,,,
62-夜間,3╱16,,,
63-上午,3╱17,,,
64-上午,3╱18,,,
65-上午,3╱19,,,
66-上午,3╱20,,,
67-上午,3╱21,,行銷案例,107
68-上午,3╱22,,創造思考,107
69-上午,3╱23,,,
70-下午,3╱17,,,
71-下午,3╱18,,,
72-下午,3╱19,,,
73-下午,3╱20,,,
74-下午,3╱21,,行銷案例,107
75-下午,3╱22,,創造思考,107
76-下午,3╱23,,,
77-夜間,3╱17,,,
78-夜間,3╱18,,,
79-夜間,3╱19,,,
80-夜間,3╱20,,,
81-夜間,3╱21,,,
82-夜間,3╱22,,,
83-夜間,3╱23,,,
84-上午,3╱24,,,
85-上午,3╱25,,,
86-上午,3╱26,,,
87-上午,3╱27,,,
88-上午,3╱28,,行銷案例,107
89-上午,3╱29,,創造思考,107
90-上午,3╱30,,,
91-下午,3╱24,,,
92-下午,3╱25,,,
93-下午,3╱26,,,
94-下午,3╱27,,,
95-下午,3╱28,,行銷案例,107
96-下午,3╱29,,創造思考,107
97-下午,3╱30,,,
98-夜間,3╱24,,,
99-夜間,3╱25,,,
100-夜間,3╱26,,,
101-夜間,3╱27,,,
102-夜間,3╱28,,,
103-夜間,3╱29,,,
104-夜間,3╱30,,,
